X trueY nnY L2norm
  0.4032389757      0.6752612592      0.6385611643      0.1346896960E-02
  0.9116636480       2.750925966       2.746590787      0.1879377572E-04
  0.2066413870       1.344864258       1.286848062      0.3365878917E-02
  0.6747646153       3.509810542       3.429413288      0.6463718499E-02
  0.3597550676E-02  0.5958296014E-01 -0.1075651668      0.2793849634E-01
  0.6121038921       3.435313002       3.498833142      0.4034808155E-02
  0.4171723960      0.8058592382      0.7413441311      0.4162199042E-02
  0.9304712823       2.955160398       2.911803385      0.1879830580E-02
  0.7610310878       2.905947137       2.866372534      0.1566149186E-02
  0.3706423833      0.4840684560      0.5177924583      0.1137308326E-02
  0.1951449657       1.416599157       1.343204873      0.5386720896E-02
  0.4348332097       1.008931038      0.9184292963      0.8190565255E-02
  0.1734434259       1.514132565       1.424009104      0.8122238295E-02
  0.3595610584      0.4570054978      0.5111265726      0.2929090738E-02
  0.4836640205       1.730810904       1.657306685      0.5402870139E-02
  0.5639697281       2.975924014       3.073707691      0.9561647532E-02
  0.1113525847       1.430740483       1.406433572      0.5908259219E-03
  0.2317709505       1.154158631       1.139263923      0.2218523257E-03
  0.8998568829       2.647816798       2.670197297      0.5008867322E-03
  0.3248445147      0.4915110735      0.5820879522      0.8204170958E-02
  0.4871365899E-01  0.7694861999      0.8393826727      0.4885516904E-02
  0.3192463787E-01  0.5182005573      0.5510408484      0.1078484724E-02
  0.8737742648       2.495215684       2.567287813      0.5194391833E-02
  0.2933514329      0.6551841869      0.7369062291      0.6678492192E-02
  0.5657948343       2.998948870       3.098130754      0.9837046159E-02
  0.6812106255       3.485569718       3.395389201      0.8132525517E-02
  0.3535326439E-01  0.5712048952      0.6156401238      0.1974489543E-02
  0.9703393373       3.517200921       3.465226749      0.2701314473E-02
  0.9939348303       3.899595922       3.938919391      0.1546335279E-02
  0.6041855114       3.382729136       3.461007448      0.6127494249E-02
  0.6957051085       3.413392239       3.308784679      0.1094274155E-01
  0.9838572694       3.733961946       3.722700484      0.1268205150E-03
  0.6697098664E-01   1.013582219       1.079470488      0.4341263918E-02
  0.7186523049E-01   1.072701842       1.132190608      0.3538913282E-02
  0.4598639067       1.356203999       1.256494925      0.9941899403E-02
  0.9551393267       3.286209608       3.219204201      0.4489724604E-02
  0.3467513267      0.4493530127      0.5223072837      0.5322325653E-02
