X trueY nnY L2norm
  0.6309773123       3.521089585       3.540972856      0.3953444606E-03
  0.9871382541       3.787630317       3.790808989      0.1010395013E-04
  0.1441109752       1.547744878       1.467840480      0.6384712834E-02
  0.9788405662E-01   1.334040848       1.340568423      0.4260923577E-04
  0.1198616280       1.477362549       1.435098477      0.1786251848E-02
  0.7357482614       3.121129835       3.034784284      0.7455554155E-02
  0.4085971310E-01  0.6546313846      0.7131269987      0.3421736872E-02
  0.3629194670      0.4631786590      0.5114726867      0.2332313112E-02
  0.1840504434       1.473286656       1.389061719      0.7093840041E-02
  0.8830340758       2.537228353       2.594110677      0.3235598792E-02
  0.6482411058       3.550618256       3.526871692      0.5638992689E-03
